episode,source,feature_group,event,event_frame,best_frame_within_5,best_score_within_5,score_percentile
50458,wam,joint_position,approach_onset,44,47,0.9770616263603988,0.9047619047619048
50458,wam,joint_position,contact_onset,68,71,0.8038221377715358,0.7976190476190477
50458,wam,joint_position,object_motion_onset,110,115,0.4539447314213191,0.5952380952380952
50458,wam,joint_position,transport_onset,124,120,0.967407947798884,0.8988095238095238
50458,wam,joint_position,placement_contact,176,171,0.688068070995705,0.7142857142857143
50458,wam,joint_position,release_onset,186,181,0.13767844593135747,0.20833333333333334
50458,wam,joint_position,retreat_onset,190,185,0.10794726718020349,0.10714285714285714
50458,wam,joint_d1,approach_onset,44,47,1.1175980069760698,0.5476190476190477
50458,wam,joint_d1,contact_onset,68,68,0.7681389189733077,0.36904761904761907
50458,wam,joint_d1,object_motion_onset,110,115,1.2712382794694488,0.6309523809523809
50458,wam,joint_d1,transport_onset,124,119,2.3943697198105514,0.9464285714285714
50458,wam,joint_d1,placement_contact,176,171,2.159633809960759,0.8928571428571429
50458,wam,joint_d1,release_onset,186,183,1.672642143598664,0.7440476190476191
50458,wam,joint_d1,retreat_onset,190,185,1.2288355761525638,0.5952380952380952
50458,wam,joint_scalar,approach_onset,44,49,1.7016068104744821,0.8214285714285714
50458,wam,joint_scalar,contact_onset,68,69,1.6098835270576002,0.7678571428571429
50458,wam,joint_scalar,object_motion_onset,110,105,3.2862217042507478,0.9583333333333334
50458,wam,joint_scalar,transport_onset,124,123,1.7958098856896667,0.8571428571428571
50458,wam,joint_scalar,placement_contact,176,181,2.312172261623929,0.8988095238095238
50458,wam,joint_scalar,release_onset,186,182,2.4829188524615775,0.9226190476190477
50458,wam,joint_scalar,retreat_onset,190,185,0.8926858090309197,0.3273809523809524
50458,wam,joint_dynamics,approach_onset,44,48,1.2008399688206208,0.5416666666666666
50458,wam,joint_dynamics,contact_onset,68,69,0.8016997933981829,0.2916666666666667
50458,wam,joint_dynamics,object_motion_onset,110,105,1.960323344817021,0.8988095238095238
50458,wam,joint_dynamics,transport_onset,124,129,1.933188392274578,0.8869047619047619
50458,wam,joint_dynamics,placement_contact,176,181,2.0759105066248553,0.9404761904761905
50458,wam,joint_dynamics,release_onset,186,181,2.0759105066248553,0.9404761904761905
50458,wam,joint_dynamics,retreat_onset,190,185,0.9948710315961096,0.3869047619047619
50458,wam,gripper_only,approach_onset,44,47,1.801452472859745,0.8690476190476191
50458,wam,gripper_only,contact_onset,68,66,1.051490608348213,0.7440476190476191
50458,wam,gripper_only,object_motion_onset,110,105,0.9631772492110247,0.6964285714285714
50458,wam,gripper_only,transport_onset,124,119,0.8381158717063987,0.6130952380952381
50458,wam,gripper_only,placement_contact,176,179,5.814734645115765,0.9880952380952381
50458,wam,gripper_only,release_onset,186,181,3.9477391649463955,0.9404761904761905
50458,wam,gripper_only,retreat_onset,190,185,1.1305334243009426,0.7619047619047619
50458,wam,joint_gripper,approach_onset,44,47,1.2732986936883588,0.5476190476190477
50458,wam,joint_gripper,contact_onset,68,66,0.8168503964444283,0.27380952380952384
50458,wam,joint_gripper,object_motion_onset,110,105,1.8941538877061854,0.8452380952380952
50458,wam,joint_gripper,transport_onset,124,129,1.8257461227407674,0.8154761904761905
50458,wam,joint_gripper,placement_contact,176,179,2.613521176562461,0.9880952380952381
50458,wam,joint_gripper,release_onset,186,181,2.4052845295746863,0.9523809523809523
50458,wam,joint_gripper,retreat_onset,190,185,1.0131389332167657,0.4166666666666667
